ID	Symbol	Synonyms	Chromosome
"5197"	"PF4V1"	"CXCL4L1, CXCL4V1, PF4-ALT, PF4A, SCYB4V1"	"4"
"5228"	"PGF"	"D12S1900, PGFL, PIGF, PLGF, PlGF-2, SHGC-10760"	"14"
"5328"	"PLAU"	"ATF, BDPLT5, QPD, UPA, URK, u-PA"	"10"
"5367"	"PMCH"	"MCH, ppMCH"	"12"
"5368"	"PNOC"	"N/OFQ, NOP, OFQ, PPNOC, ppN/OFQ"	"8"
"5443"	"POMC"	"ACTH, CLIP, LPH, MSH, NPP, OBAIRH, POC"	"2"
"5473"	"PPBP"	"B-TG1, Beta-TG, CTAP-III, CTAP3, CTAPIII, CXCL7, LA-PF4, LDGF, MDGF, NAP-2, PBP, SCYB7, TC1, TC2, TGB, TGB1, THBGB, THBGB1"	"4"
"728045"	"PPBPP1"	"PPBPL1, TGB2"	"4"
"10895"	"PPBPP2"	"PPBPL2, SPBPBP"	"4"
"5539"	"PPY"	"PNP, PP"	"17"
"5617"	"PRL"	"GHA1"	"6"
"51052"	"PRLH"	"PRH, PRRP"	"2"
"84432"	"PROK1"	"EGVEGF, PK1, PRK1"	"1"
"60675"	"PROK2"	"BV8, HH4, KAL4, MIT1, PK2"	"3"
"5623"	"PSPN"	"PSP"	"19"
"5741"	"PTH"	"FIH1, PTH1"	"11"
"113091"	"PTH2"	"TIP39"	"19"
"5744"	"PTHLH"	"BDE2, HHM, PLP, PTHR, PTHRP"	"12"
"5764"	"PTN"	"HARP, HB-GAM, HBBM, HBGF-8, HBGF8, HBNF, HBNF-1, NEGF1, OSF-1"	"7"
"5697"	"PYY"	"PYY-I, PYY1"	"17"
"347148"	"QRFP"	"26RFa, P518"	"9"
"9135"	"RABEP1"	"RAB5EP, RABPT5"	"17"
"79874"	"RABEP2"	"FRA"	"16"
"5967"	"REG1A"	"ICRF, P19, PSP, PSPS, PSPS1, PTP, REG"	"2"
"56729"	"RETN"	"ADSF, FIZZ3, RETN1, RSTN, XCP1"	"19"
"84666"	"RETNLB"	"FIZZ1, FIZZ2, HXCP2, RELM-beta, RELMb, RELMbeta, XCP2"	"3"
"6013"	"RLN1"	"H1, H1RLX, RLXH1, bA12D24.3.1, bA12D24.3.2"	"9"
"6019"	"RLN2"	"H2, H2-RLX, RLXH2, bA12D24.1.1, bA12D24.1.2"	"9"
"117579"	"RLN3"	"H3, RXN3, ZINS4, insl7"	"19"
"6036"	"RNASE2"	"EDN, RAF3, RNS2"	"14"
"6277"	"S100A6"	"2A9, 5B10, CABP, CACY, PRA, S10A6"	"1"
"6288"	"SAA1"	"PIG4, SAA, SAA2, TP53I4"	"11"
"6289"	"SAA2"	"SAA, SAA1"	"11"
"51119"	"SBDS"	"CGI-97, SDS, SWDS"	"7"
"7857"	"SCG2"	"CHGC, EM66, SN, SgII"	"2"
"92304"	"SCGB3A1"	"HIN-1, HIN1, LU105, PnSP-2, UGRP2"	"5"
"6343"	"SCT"	"-"	"11"
"9255"	"AIMP1"	"EMAP2, EMAPII, HLD3, SCYE1, p43"	"4"
"6398"	"SECTM1"	"K12, SECTM"	"17"
"10371"	"SEMA3A"	"COLL1, HH16, Hsema-I, Hsema-III, SEMA1, SEMAD, SEMAIII, SEMAL, SemD, coll-1"	"7"
"7869"	"SEMA3B"	"LUCA-1, SEMA5, SEMAA, SemA, semaV"	"3"
"10512"	"SEMA3C"	"SEMAE, SemE"	"7"
"223117"	"SEMA3D"	"Sema-Z2, coll-2"	"7"
"9723"	"SEMA3E"	"M-SEMAH, M-SemaK, SEMAH, coll-5"	"7"
"6405"	"SEMA3F"	"SEMA-IV, SEMA4, SEMAK"	"3"
"56920"	"SEMA3G"	"sem2"	"3"
"64218"	"SEMA4A"	"CORD10, RP35, SEMAB, SEMB"	"1"
"10509"	"SEMA4B"	"SEMAC, SemC"	"15"
"54910"	"SEMA4C"	"M-SEMA-F, SEMACL1, SEMAF, SEMAI"	"2"
"10507"	"SEMA4D"	"A8, BB18, C9orf164, CD100, COLL4, GR3, M-sema-G, SEMAJ, coll-4"	"9"
"10505"	"SEMA4F"	"M-SEMA, PRO2353, S4F, SEMAM, SEMAW, m-Sema-M"	"2"
"57715"	"SEMA4G"	"-"	"10"
"9037"	"SEMA5A"	"SEMAF, semF"	"5"
"54437"	"SEMA5B"	"SEMAG, SemG"	"3"
"57556"	"SEMA6A"	"HT018, SEMA, SEMA6A1, SEMAQ, VIA"	"5"
"10501"	"SEMA6B"	"EPM11, SEM-SEMA-Y, SEMA-VIB, SEMAN, semaZ"	"19"
"10500"	"SEMA6C"	"SEMAY, m-SemaY, m-SemaY2"	"1"
"80031"	"SEMA6D"	"-"	"15"
"8482"	"SEMA7A"	"CD108, CDw108, H-SEMA-K1, H-Sema-L, JMH, SEMAK1, SEMAL"	"15"
"6585"	"SLIT1"	"MEGF4, SLIL1, SLIT-1, SLIT3"	"10"
"9353"	"SLIT2"	"SLIL3, Slit-2"	"4"
"57152"	"SLURP1"	"ANUP, ARS, ArsB, LY6-MT, LY6LS, MDM"	"8"
"6696"	"SPP1"	"BNSP, BSPI, ETA-1, OPN"	"4"
"6750"	"SST"	"SMST"	"3"
"6781"	"STC1"	"STC"	"8"
"8614"	"STC2"	"STC-2, STCRP"	"5"
"6863"	"TAC1"	"Hs.2563, NK2, NKNA, NPK, TAC2"	"7"
"6997"	"TDGF1"	"CR, CR-1, CRGF, CRIPTO"	"3"
"6998"	"TDGF1P3"	"CR-3, CRIPTO, CRIPTO-3, CRIPTO3, TDGF1, TDGF2, TDGF3"	"X"
"7038"	"TG"	"AITD3, TGN"	"8"
"7039"	"TGFA"	"TFGA"	"2"
"7040"	"TGFB1"	"CED, DPD1, IBDIMDE, LAP, TGF-beta1, TGFB, TGFbeta"	"19"
"7042"	"TGFB2"	"G-TSF, LDS4, TGF-beta2"	"1"
"7043"	"TGFB3"	"ARVD, ARVD1, LDS5, RNHF, TGF-beta3"	"14"
"7066"	"THPO"	"MGDF, MKCSF, ML, MPLLG, THCYT1, TPO"	"3"
"3371"	"TNC"	"150-225, DFNA56, GMEM, GP, HXB, JI, TN, TN-C"	"9"
"7124"	"TNF"	"DIF, TNF-alpha, TNFA, TNFSF2, TNLG1F"	"6"
"4982"	"TNFRSF11B"	"OCIF, OPG, PDB5, TR1"	"8"
"8743"	"TNFSF10"	"APO2L, Apo-2L, CD253, TL2, TNLG6A, TRAIL"	"3"
"8600"	"TNFSF11"	"CD254, ODF, OPGL, OPTB2, RANKL, TNLG6B, TRANCE, hRANKL2, sOdf"	"13"
"8742"	"TNFSF12"	"APO3L, DR3LG, TNLG4A, TWEAK"	"17"
"8741"	"TNFSF13"	"APRIL, CD256, TALL-2, TALL2, TNLG7B, TRDL-1, UNQ383/PRO715, ZTNF2"	"17"
"10673"	"TNFSF13B"	"BAFF, BLYS, CD257, DTL, TALL-1, TALL1, THANK, TNFSF20, TNLG7A, ZTNF4"	"13"
"8740"	"TNFSF14"	"CD258, HVEML, LIGHT, LTg"	"19"
"9966"	"TNFSF15"	"TL1, TL1A, TNLG1B, VEGI, VEGI192A"	"9"
"8995"	"TNFSF18"	"AITRL, GITRL, TL6, TNLG2A, hGITRL"	"1"
"7292"	"TNFSF4"	"CD134L, CD252, GP34, OX-40L, OX4OL, TNLG2B, TXGP1"	"1"
"944"	"TNFSF8"	"CD153, CD30L, CD30LG, TNLG3A"	"9"
"8744"	"TNFSF9"	"4-1BB-L, CD137L, TNLG5A"	"19"
"27433"	"TOR2A"	"TORP1"	"9"
"7200"	"TRH"	"Pro-TRH, TRF"	"3"
"7252"	"TSHB"	"TSH-B, TSH-BETA"	"1"
"85480"	"TSLP"	"-"	"5"
"200081"	"TXLNA"	"IL14, TXLN"	"1"
"1890"	"TYMP"	"ECGF, ECGF1, MEDPS1, MNGIE, MTDPS1, PDECGF, TP, hPD-ECGF"	"22"
"7349"	"UCN"	"UI, UROC"	"2"
"90226"	"UCN2"	"SRP, UCN-II, UCNI, UR, URP"	"3"
"114131"	"UCN3"	"SCP, SPC, UCNIII"	"10"
"10911"	"UTS2"	"PRO1068, U-II, UCN2, UII"	"1"
"257313"	"UTS2B"	"U2B, URP, UTS2D"	"3"
"7422"	"VEGFA"	"MVCD1, VEGF, VPF"	"6"
"7423"	"VEGFB"	"VEGFL, VRF"	"11"
"7424"	"VEGFC"	"Flt4-L, LMPH1D, LMPHM4, VRP"	"4"
"7425"	"VGF"	"SCG7, SgVII"	"7"
"7432"	"VIP"	"PHM27"	"6"
"6375"	"XCL1"	"ATAC, LPTN, LTN, SCM-1, SCM-1a, SCM1, SCM1A, SCYC1"	"1"
"6846"	"XCL2"	"SCM-1b, SCM1B, SCYC2"	"1"
